{'SiO2': 87, 'TiO2': 91, 'Al2O3': 71, 'FeO': 17, 'MnO': 18, 'MgO': 72, 'CaO': 69, 'Na2O': 1, 'K2O': 100, 'F': 97, 'Cl': 80, 'Bjergart': 'Dunit'}
{'SiO2': 58, 'TiO2': 98, 'Al2O3': 75, 'FeO': 70, 'MnO': 79, 'MgO': 7, 'CaO': 4, 'Na2O': 30, 'K2O': 64, 'F': 39, 'Cl': 95, 'Bjergart': 'Granit'}
{'SiO2': 1, 'TiO2': 24, 'Al2O3': 43, 'FeO': 10, 'MnO': 87, 'MgO': 80, 'CaO': 72, 'Na2O': 11, 'K2O': 95, 'F': 85, 'Cl': 37, 'Bjergart': 'Amfibolit'}
{'SiO2': 94, 'TiO2': 13, 'Al2O3': 57, 'FeO': 14, 'MnO': 66, 'MgO': 53, 'CaO': 10, 'Na2O': 32, 'K2O': 65, 'F': 43, 'Cl': 100, 'Bjergart': 'Granit'}
{'SiO2': 16, 'TiO2': 42, 'Al2O3': 65, 'FeO': 0, 'MnO': 63, 'MgO': 33, 'CaO': 17, 'Na2O': 70, 'K2O': 7, 'F': 65, 'Cl': 82, 'Bjergart': 'Amfibolit'}
{'SiO2': 11, 'TiO2': 22, 'Al2O3': 33, 'FeO': 5, 'MnO': 76, 'MgO': 86, 'CaO': 29, 'Na2O': 11, 'K2O': 10, 'F': 50, 'Cl': 28, 'Bjergart': 'Harzburgite'}
{'SiO2': 21, 'TiO2': 9, 'Al2O3': 87, 'FeO': 96, 'MnO': 35, 'MgO': 0, 'CaO': 33, 'Na2O': 47, 'K2O': 30, 'F': 29, 'Cl': 48, 'Bjergart': 'Dunit'}
{'SiO2': 61, 'TiO2': 13, 'Al2O3': 24, 'FeO': 38, 'MnO': 37, 'MgO': 82, 'CaO': 49, 'Na2O': 7, 'K2O': 9, 'F': 14, 'Cl': 2, 'Bjergart': 'Gnejs'}
{'SiO2': 22, 'TiO2': 35, 'Al2O3': 70, 'FeO': 37, 'MnO': 71, 'MgO': 43, 'CaO': 77, 'Na2O': 22, 'K2O': 77, 'F': 92, 'Cl': 48, 'Bjergart': 'Harzburgite'}
{'SiO2': 23, 'TiO2': 31, 'Al2O3': 47, 'FeO': 76, 'MnO': 100, 'MgO': 41, 'CaO': 8, 'Na2O': 54, 'K2O': 45, 'F': 6, 'Cl': 65, 'Bjergart': 'Basalt'}
{'SiO2': 20, 'TiO2': 72, 'Al2O3': 7, 'FeO': 61, 'MnO': 99, 'MgO': 43, 'CaO': 52, 'Na2O': 38, 'K2O': 32, 'F': 33, 'Cl': 40, 'Bjergart': 'Gnejs'}
{'SiO2': 99, 'TiO2': 58, 'Al2O3': 47, 'FeO': 100, 'MnO': 82, 'MgO': 49, 'CaO': 76, 'Na2O': 27, 'K2O': 55, 'F': 45, 'Cl': 52, 'Bjergart': 'Granit'}
{'SiO2': 40, 'TiO2': 45, 'Al2O3': 47, 'FeO': 1, 'MnO': 73, 'MgO': 89, 'CaO': 44, 'Na2O': 96, 'K2O': 97, 'F': 76, 'Cl': 21, 'Bjergart': 'Harzburgite'}
{'SiO2': 83, 'TiO2': 86, 'Al2O3': 71, 'FeO': 84, 'MnO': 16, 'MgO': 53, 'CaO': 53, 'Na2O': 0, 'K2O': 19, 'F': 59, 'Cl': 26, 'Bjergart': 'Gnejs'}
{'SiO2': 9, 'TiO2': 5, 'Al2O3': 38, 'FeO': 87, 'MnO': 60, 'MgO': 4, 'CaO': 66, 'Na2O': 31, 'K2O': 98, 'F': 2, 'Cl': 20, 'Bjergart': 'Basalt'}
{'SiO2': 82, 'TiO2': 10, 'Al2O3': 54, 'FeO': 96, 'MnO': 48, 'MgO': 80, 'CaO': 36, 'Na2O': 41, 'K2O': 37, 'F': 34, 'Cl': 17, 'Bjergart': 'Gnejs'}
{'SiO2': 96, 'TiO2': 60, 'Al2O3': 92, 'FeO': 93, 'MnO': 7, 'MgO': 14, 'CaO': 54, 'Na2O': 60, 'K2O': 22, 'F': 84, 'Cl': 46, 'Bjergart': 'Dunit'}
{'SiO2': 77, 'TiO2': 27, 'Al2O3': 50, 'FeO': 8, 'MnO': 45, 'MgO': 82, 'CaO': 86, 'Na2O': 37, 'K2O': 79, 'F': 71, 'Cl': 81, 'Bjergart': 'Harzburgite'}
{'SiO2': 21, 'TiO2': 63, 'Al2O3': 10, 'FeO': 7, 'MnO': 7, 'MgO': 22, 'CaO': 100, 'Na2O': 26, 'K2O': 9, 'F': 56, 'Cl': 76, 'Bjergart': 'Basalt'}
{'SiO2': 72, 'TiO2': 65, 'Al2O3': 69, 'FeO': 8, 'MnO': 39, 'MgO': 80, 'CaO': 73, 'Na2O': 23, 'K2O': 42, 'F': 72, 'Cl': 22, 'Bjergart': 'Granit'}
{'SiO2': 9, 'TiO2': 84, 'Al2O3': 32, 'FeO': 6, 'MnO': 100, 'MgO': 91, 'CaO': 66, 'Na2O': 12, 'K2O': 64, 'F': 66, 'Cl': 22, 'Bjergart': 'Harzburgite'}
{'SiO2': 86, 'TiO2': 8, 'Al2O3': 8, 'FeO': 18, 'MnO': 0, 'MgO': 1, 'CaO': 94, 'Na2O': 20, 'K2O': 79, 'F': 62, 'Cl': 64, 'Bjergart': 'Gnejs'}
{'SiO2': 28, 'TiO2': 36, 'Al2O3': 78, 'FeO': 16, 'MnO': 28, 'MgO': 70, 'CaO': 36, 'Na2O': 38, 'K2O': 76, 'F': 74, 'Cl': 79, 'Bjergart': 'Basalt'}
{'SiO2': 29, 'TiO2': 54, 'Al2O3': 57, 'FeO': 1, 'MnO': 50, 'MgO': 3, 'CaO': 32, 'Na2O': 90, 'K2O': 96, 'F': 4, 'Cl': 71, 'Bjergart': 'Basalt'}
{'SiO2': 13, 'TiO2': 25, 'Al2O3': 27, 'FeO': 100, 'MnO': 7, 'MgO': 75, 'CaO': 19, 'Na2O': 30, 'K2O': 60, 'F': 53, 'Cl': 36, 'Bjergart': 'Gnejs'}
{'SiO2': 72, 'TiO2': 61, 'Al2O3': 0, 'FeO': 58, 'MnO': 45, 'MgO': 92, 'CaO': 75, 'Na2O': 77, 'K2O': 68, 'F': 79, 'Cl': 100, 'Bjergart': 'Harzburgite'}
{'SiO2': 74, 'TiO2': 92, 'Al2O3': 41, 'FeO': 15, 'MnO': 58, 'MgO': 8, 'CaO': 24, 'Na2O': 65, 'K2O': 41, 'F': 88, 'Cl': 53, 'Bjergart': 'Amfibolit'}
{'SiO2': 83, 'TiO2': 62, 'Al2O3': 88, 'FeO': 53, 'MnO': 78, 'MgO': 1, 'CaO': 5, 'Na2O': 0, 'K2O': 22, 'F': 17, 'Cl': 5, 'Bjergart': 'Gnejs'}
{'SiO2': 49, 'TiO2': 64, 'Al2O3': 64, 'FeO': 58, 'MnO': 99, 'MgO': 52, 'CaO': 8, 'Na2O': 40, 'K2O': 53, 'F': 70, 'Cl': 34, 'Bjergart': 'Dunit'}
{'SiO2': 48, 'TiO2': 84, 'Al2O3': 60, 'FeO': 62, 'MnO': 3, 'MgO': 89, 'CaO': 59, 'Na2O': 98, 'K2O': 62, 'F': 28, 'Cl': 92, 'Bjergart': 'Granit'}
{'SiO2': 20, 'TiO2': 39, 'Al2O3': 60, 'FeO': 46, 'MnO': 92, 'MgO': 61, 'CaO': 32, 'Na2O': 99, 'K2O': 44, 'F': 72, 'Cl': 67, 'Bjergart': 'Harzburgite'}
{'SiO2': 22, 'TiO2': 100, 'Al2O3': 40, 'FeO': 81, 'MnO': 57, 'MgO': 41, 'CaO': 93, 'Na2O': 21, 'K2O': 25, 'F': 52, 'Cl': 27, 'Bjergart': 'Granulit'}
{'SiO2': 92, 'TiO2': 28, 'Al2O3': 32, 'FeO': 51, 'MnO': 1, 'MgO': 17, 'CaO': 43, 'Na2O': 86, 'K2O': 72, 'F': 70, 'Cl': 44, 'Bjergart': 'Basalt'}
{'SiO2': 26, 'TiO2': 72, 'Al2O3': 31, 'FeO': 11, 'MnO': 7, 'MgO': 2, 'CaO': 41, 'Na2O': 77, 'K2O': 84, 'F': 57, 'Cl': 40, 'Bjergart': 'Amfibolit'}
{'SiO2': 11, 'TiO2': 98, 'Al2O3': 2, 'FeO': 60, 'MnO': 79, 'MgO': 26, 'CaO': 23, 'Na2O': 81, 'K2O': 97, 'F': 0, 'Cl': 53, 'Bjergart': 'Basalt'}
{'SiO2': 61, 'TiO2': 24, 'Al2O3': 40, 'FeO': 96, 'MnO': 27, 'MgO': 8, 'CaO': 56, 'Na2O': 66, 'K2O': 71, 'F': 69, 'Cl': 80, 'Bjergart': 'Dunit'}
{'SiO2': 90, 'TiO2': 70, 'Al2O3': 57, 'FeO': 9, 'MnO': 13, 'MgO': 14, 'CaO': 53, 'Na2O': 78, 'K2O': 28, 'F': 45, 'Cl': 15, 'Bjergart': 'Amfibolit'}
{'SiO2': 8, 'TiO2': 57, 'Al2O3': 17, 'FeO': 32, 'MnO': 96, 'MgO': 5, 'CaO': 28, 'Na2O': 44, 'K2O': 32, 'F': 79, 'Cl': 17, 'Bjergart': 'Dunit'}
{'SiO2': 76, 'TiO2': 6, 'Al2O3': 40, 'FeO': 52, 'MnO': 36, 'MgO': 4, 'CaO': 40, 'Na2O': 40, 'K2O': 87, 'F': 83, 'Cl': 56, 'Bjergart': 'Harzburgite'}
{'SiO2': 95, 'TiO2': 62, 'Al2O3': 88, 'FeO': 100, 'MnO': 67, 'MgO': 30, 'CaO': 4, 'Na2O': 55, 'K2O': 40, 'F': 72, 'Cl': 37, 'Bjergart': 'Harzburgite'}
{'SiO2': 92, 'TiO2': 23, 'Al2O3': 77, 'FeO': 20, 'MnO': 43, 'MgO': 98, 'CaO': 41, 'Na2O': 72, 'K2O': 45, 'F': 19, 'Cl': 70, 'Bjergart': 'Granulit'}
{'SiO2': 24, 'TiO2': 14, 'Al2O3': 99, 'FeO': 100, 'MnO': 50, 'MgO': 44, 'CaO': 4, 'Na2O': 84, 'K2O': 41, 'F': 62, 'Cl': 56, 'Bjergart': 'Gnejs'}
{'SiO2': 70, 'TiO2': 35, 'Al2O3': 74, 'FeO': 81, 'MnO': 45, 'MgO': 49, 'CaO': 1, 'Na2O': 28, 'K2O': 67, 'F': 50, 'Cl': 30, 'Bjergart': 'Dunit'}
{'SiO2': 78, 'TiO2': 8, 'Al2O3': 11, 'FeO': 69, 'MnO': 7, 'MgO': 79, 'CaO': 62, 'Na2O': 13, 'K2O': 96, 'F': 95, 'Cl': 75, 'Bjergart': 'Gnejs'}
{'SiO2': 55, 'TiO2': 58, 'Al2O3': 44, 'FeO': 42, 'MnO': 49, 'MgO': 12, 'CaO': 34, 'Na2O': 49, 'K2O': 32, 'F': 10, 'Cl': 66, 'Bjergart': 'Granulit'}
{'SiO2': 67, 'TiO2': 99, 'Al2O3': 22, 'FeO': 78, 'MnO': 21, 'MgO': 6, 'CaO': 73, 'Na2O': 88, 'K2O': 86, 'F': 20, 'Cl': 90, 'Bjergart': 'Amfibolit'}
{'SiO2': 42, 'TiO2': 69, 'Al2O3': 77, 'FeO': 77, 'MnO': 85, 'MgO': 51, 'CaO': 10, 'Na2O': 9, 'K2O': 98, 'F': 44, 'Cl': 51, 'Bjergart': 'Basalt'}
{'SiO2': 83, 'TiO2': 68, 'Al2O3': 53, 'FeO': 86, 'MnO': 21, 'MgO': 87, 'CaO': 69, 'Na2O': 52, 'K2O': 30, 'F': 8, 'Cl': 28, 'Bjergart': 'Basalt'}
{'SiO2': 63, 'TiO2': 33, 'Al2O3': 96, 'FeO': 41, 'MnO': 54, 'MgO': 38, 'CaO': 39, 'Na2O': 32, 'K2O': 77, 'F': 17, 'Cl': 68, 'Bjergart': 'Gnejs'}
{'SiO2': 42, 'TiO2': 5, 'Al2O3': 69, 'FeO': 86, 'MnO': 56, 'MgO': 99, 'CaO': 19, 'Na2O': 97, 'K2O': 20, 'F': 48, 'Cl': 31, 'Bjergart': 'Basalt'}
{'SiO2': 48, 'TiO2': 74, 'Al2O3': 1, 'FeO': 89, 'MnO': 85, 'MgO': 34, 'CaO': 44, 'Na2O': 86, 'K2O': 78, 'F': 100, 'Cl': 71, 'Bjergart': 'Dunit'}
{'SiO2': 65, 'TiO2': 55, 'Al2O3': 10, 'FeO': 81, 'MnO': 16, 'MgO': 66, 'CaO': 22, 'Na2O': 33, 'K2O': 80, 'F': 64, 'Cl': 27, 'Bjergart': 'Harzburgite'}
{'SiO2': 16, 'TiO2': 15, 'Al2O3': 10, 'FeO': 42, 'MnO': 7, 'MgO': 37, 'CaO': 7, 'Na2O': 68, 'K2O': 65, 'F': 85, 'Cl': 7, 'Bjergart': 'Gnejs'}
{'SiO2': 27, 'TiO2': 7, 'Al2O3': 26, 'FeO': 9, 'MnO': 38, 'MgO': 82, 'CaO': 85, 'Na2O': 52, 'K2O': 85, 'F': 5, 'Cl': 92, 'Bjergart': 'Harzburgite'}
{'SiO2': 40, 'TiO2': 44, 'Al2O3': 2, 'FeO': 15, 'MnO': 83, 'MgO': 81, 'CaO': 91, 'Na2O': 43, 'K2O': 37, 'F': 71, 'Cl': 57, 'Bjergart': 'Granulit'}
{'SiO2': 8, 'TiO2': 38, 'Al2O3': 48, 'FeO': 21, 'MnO': 52, 'MgO': 47, 'CaO': 18, 'Na2O': 36, 'K2O': 96, 'F': 81, 'Cl': 3, 'Bjergart': 'Basalt'}
{'SiO2': 77, 'TiO2': 13, 'Al2O3': 60, 'FeO': 66, 'MnO': 84, 'MgO': 67, 'CaO': 6, 'Na2O': 8, 'K2O': 91, 'F': 24, 'Cl': 62, 'Bjergart': 'Basalt'}
{'SiO2': 51, 'TiO2': 29, 'Al2O3': 50, 'FeO': 45, 'MnO': 26, 'MgO': 15, 'CaO': 96, 'Na2O': 76, 'K2O': 64, 'F': 5, 'Cl': 24, 'Bjergart': 'Granit'}
{'SiO2': 90, 'TiO2': 17, 'Al2O3': 71, 'FeO': 59, 'MnO': 61, 'MgO': 90, 'CaO': 67, 'Na2O': 42, 'K2O': 82, 'F': 10, 'Cl': 43, 'Bjergart': 'Amfibolit'}
{'SiO2': 56, 'TiO2': 51, 'Al2O3': 85, 'FeO': 46, 'MnO': 61, 'MgO': 43, 'CaO': 1, 'Na2O': 91, 'K2O': 71, 'F': 59, 'Cl': 26, 'Bjergart': 'Harzburgite'}
{'SiO2': 97, 'TiO2': 7, 'Al2O3': 18, 'FeO': 84, 'MnO': 66, 'MgO': 29, 'CaO': 66, 'Na2O': 93, 'K2O': 17, 'F': 96, 'Cl': 63, 'Bjergart': 'Granulit'}
{'SiO2': 42, 'TiO2': 100, 'Al2O3': 30, 'FeO': 72, 'MnO': 98, 'MgO': 64, 'CaO': 42, 'Na2O': 14, 'K2O': 73, 'F': 74, 'Cl': 64, 'Bjergart': 'Dunit'}
{'SiO2': 62, 'TiO2': 1, 'Al2O3': 31, 'FeO': 46, 'MnO': 28, 'MgO': 4, 'CaO': 28, 'Na2O': 55, 'K2O': 80, 'F': 85, 'Cl': 96, 'Bjergart': 'Granit'}
{'SiO2': 57, 'TiO2': 64, 'Al2O3': 11, 'FeO': 69, 'MnO': 8, 'MgO': 69, 'CaO': 13, 'Na2O': 37, 'K2O': 91, 'F': 46, 'Cl': 61, 'Bjergart': 'Amfibolit'}
{'SiO2': 1, 'TiO2': 3, 'Al2O3': 68, 'FeO': 87, 'MnO': 5, 'MgO': 5, 'CaO': 71, 'Na2O': 85, 'K2O': 43, 'F': 62, 'Cl': 76, 'Bjergart': 'Dunit'}
{'SiO2': 37, 'TiO2': 20, 'Al2O3': 3, 'FeO': 74, 'MnO': 66, 'MgO': 23, 'CaO': 88, 'Na2O': 84, 'K2O': 47, 'F': 14, 'Cl': 68, 'Bjergart': 'Amfibolit'}
{'SiO2': 34, 'TiO2': 23, 'Al2O3': 99, 'FeO': 87, 'MnO': 11, 'MgO': 32, 'CaO': 29, 'Na2O': 30, 'K2O': 89, 'F': 49, 'Cl': 77, 'Bjergart': 'Basalt'}
{'SiO2': 51, 'TiO2': 1, 'Al2O3': 83, 'FeO': 50, 'MnO': 67, 'MgO': 28, 'CaO': 72, 'Na2O': 92, 'K2O': 44, 'F': 31, 'Cl': 52, 'Bjergart': 'Dunit'}
{'SiO2': 80, 'TiO2': 44, 'Al2O3': 73, 'FeO': 53, 'MnO': 82, 'MgO': 72, 'CaO': 99, 'Na2O': 97, 'K2O': 55, 'F': 80, 'Cl': 1, 'Bjergart': 'Harzburgite'}
{'SiO2': 56, 'TiO2': 0, 'Al2O3': 26, 'FeO': 79, 'MnO': 81, 'MgO': 9, 'CaO': 59, 'Na2O': 90, 'K2O': 0, 'F': 15, 'Cl': 62, 'Bjergart': 'Granulit'}
{'SiO2': 94, 'TiO2': 48, 'Al2O3': 65, 'FeO': 10, 'MnO': 9, 'MgO': 4, 'CaO': 64, 'Na2O': 70, 'K2O': 89, 'F': 83, 'Cl': 95, 'Bjergart': 'Gnejs'}
{'SiO2': 34, 'TiO2': 61, 'Al2O3': 83, 'FeO': 19, 'MnO': 23, 'MgO': 17, 'CaO': 43, 'Na2O': 90, 'K2O': 6, 'F': 79, 'Cl': 18, 'Bjergart': 'Granulit'}
{'SiO2': 98, 'TiO2': 72, 'Al2O3': 2, 'FeO': 65, 'MnO': 59, 'MgO': 16, 'CaO': 62, 'Na2O': 45, 'K2O': 89, 'F': 54, 'Cl': 82, 'Bjergart': 'Amfibolit'}
{'SiO2': 70, 'TiO2': 25, 'Al2O3': 7, 'FeO': 56, 'MnO': 49, 'MgO': 18, 'CaO': 81, 'Na2O': 96, 'K2O': 25, 'F': 86, 'Cl': 83, 'Bjergart': 'Amfibolit'}
{'SiO2': 59, 'TiO2': 51, 'Al2O3': 35, 'FeO': 42, 'MnO': 80, 'MgO': 71, 'CaO': 3, 'Na2O': 15, 'K2O': 20, 'F': 97, 'Cl': 89, 'Bjergart': 'Granulit'}
{'SiO2': 19, 'TiO2': 47, 'Al2O3': 46, 'FeO': 32, 'MnO': 81, 'MgO': 52, 'CaO': 61, 'Na2O': 26, 'K2O': 84, 'F': 77, 'Cl': 36, 'Bjergart': 'Gnejs'}
{'SiO2': 15, 'TiO2': 68, 'Al2O3': 64, 'FeO': 93, 'MnO': 33, 'MgO': 67, 'CaO': 23, 'Na2O': 81, 'K2O': 54, 'F': 71, 'Cl': 10, 'Bjergart': 'Dunit'}
{'SiO2': 45, 'TiO2': 8, 'Al2O3': 99, 'FeO': 52, 'MnO': 36, 'MgO': 28, 'CaO': 53, 'Na2O': 68, 'K2O': 19, 'F': 7, 'Cl': 88, 'Bjergart': 'Dunit'}
{'SiO2': 39, 'TiO2': 17, 'Al2O3': 39, 'FeO': 22, 'MnO': 32, 'MgO': 67, 'CaO': 53, 'Na2O': 3, 'K2O': 39, 'F': 94, 'Cl': 5, 'Bjergart': 'Granulit'}
{'SiO2': 41, 'TiO2': 94, 'Al2O3': 10, 'FeO': 81, 'MnO': 5, 'MgO': 72, 'CaO': 8, 'Na2O': 16, 'K2O': 21, 'F': 30, 'Cl': 59, 'Bjergart': 'Basalt'}
{'SiO2': 33, 'TiO2': 16, 'Al2O3': 64, 'FeO': 4, 'MnO': 79, 'MgO': 28, 'CaO': 62, 'Na2O': 26, 'K2O': 1, 'F': 5, 'Cl': 90, 'Bjergart': 'Gnejs'}
{'SiO2': 61, 'TiO2': 81, 'Al2O3': 88, 'FeO': 9, 'MnO': 3, 'MgO': 81, 'CaO': 73, 'Na2O': 80, 'K2O': 97, 'F': 82, 'Cl': 16, 'Bjergart': 'Granit'}
{'SiO2': 18, 'TiO2': 56, 'Al2O3': 61, 'FeO': 31, 'MnO': 84, 'MgO': 76, 'CaO': 40, 'Na2O': 55, 'K2O': 56, 'F': 98, 'Cl': 16, 'Bjergart': 'Amfibolit'}
{'SiO2': 97, 'TiO2': 25, 'Al2O3': 53, 'FeO': 76, 'MnO': 13, 'MgO': 85, 'CaO': 17, 'Na2O': 33, 'K2O': 98, 'F': 70, 'Cl': 62, 'Bjergart': 'Granulit'}
{'SiO2': 65, 'TiO2': 28, 'Al2O3': 22, 'FeO': 91, 'MnO': 3, 'MgO': 43, 'CaO': 8, 'Na2O': 97, 'K2O': 58, 'F': 35, 'Cl': 52, 'Bjergart': 'Gnejs'}
{'SiO2': 11, 'TiO2': 84, 'Al2O3': 58, 'FeO': 66, 'MnO': 36, 'MgO': 74, 'CaO': 32, 'Na2O': 18, 'K2O': 49, 'F': 84, 'Cl': 59, 'Bjergart': 'Harzburgite'}
{'SiO2': 19, 'TiO2': 50, 'Al2O3': 38, 'FeO': 97, 'MnO': 47, 'MgO': 69, 'CaO': 88, 'Na2O': 81, 'K2O': 71, 'F': 59, 'Cl': 80, 'Bjergart': 'Basalt'}
{'SiO2': 43, 'TiO2': 29, 'Al2O3': 38, 'FeO': 98, 'MnO': 66, 'MgO': 38, 'CaO': 14, 'Na2O': 8, 'K2O': 38, 'F': 55, 'Cl': 91, 'Bjergart': 'Granit'}
{'SiO2': 80, 'TiO2': 47, 'Al2O3': 51, 'FeO': 46, 'MnO': 2, 'MgO': 2, 'CaO': 47, 'Na2O': 12, 'K2O': 39, 'F': 97, 'Cl': 32, 'Bjergart': 'Dunit'}
{'SiO2': 26, 'TiO2': 59, 'Al2O3': 95, 'FeO': 19, 'MnO': 28, 'MgO': 45, 'CaO': 64, 'Na2O': 16, 'K2O': 93, 'F': 81, 'Cl': 4, 'Bjergart': 'Basalt'}
{'SiO2': 99, 'TiO2': 52, 'Al2O3': 30, 'FeO': 19, 'MnO': 68, 'MgO': 41, 'CaO': 8, 'Na2O': 27, 'K2O': 89, 'F': 26, 'Cl': 95, 'Bjergart': 'Gnejs'}
{'SiO2': 47, 'TiO2': 17, 'Al2O3': 52, 'FeO': 70, 'MnO': 35, 'MgO': 45, 'CaO': 67, 'Na2O': 4, 'K2O': 96, 'F': 72, 'Cl': 77, 'Bjergart': 'Granit'}
{'SiO2': 34, 'TiO2': 20, 'Al2O3': 44, 'FeO': 34, 'MnO': 26, 'MgO': 31, 'CaO': 22, 'Na2O': 3, 'K2O': 55, 'F': 77, 'Cl': 83, 'Bjergart': 'Granit'}
{'SiO2': 2, 'TiO2': 33, 'Al2O3': 21, 'FeO': 46, 'MnO': 48, 'MgO': 68, 'CaO': 42, 'Na2O': 33, 'K2O': 53, 'F': 57, 'Cl': 23, 'Bjergart': 'Dunit'}
{'SiO2': 67, 'TiO2': 31, 'Al2O3': 81, 'FeO': 88, 'MnO': 81, 'MgO': 12, 'CaO': 91, 'Na2O': 63, 'K2O': 63, 'F': 87, 'Cl': 63, 'Bjergart': 'Harzburgite'}
{'SiO2': 69, 'TiO2': 44, 'Al2O3': 78, 'FeO': 30, 'MnO': 34, 'MgO': 59, 'CaO': 96, 'Na2O': 58, 'K2O': 71, 'F': 69, 'Cl': 16, 'Bjergart': 'Gnejs'}
{'SiO2': 75, 'TiO2': 47, 'Al2O3': 16, 'FeO': 67, 'MnO': 69, 'MgO': 91, 'CaO': 100, 'Na2O': 32, 'K2O': 83, 'F': 99, 'Cl': 81, 'Bjergart': 'Granit'}
{'SiO2': 65, 'TiO2': 57, 'Al2O3': 31, 'FeO': 98, 'MnO': 29, 'MgO': 67, 'CaO': 74, 'Na2O': 76, 'K2O': 61, 'F': 46, 'Cl': 40, 'Bjergart': 'Granulit'}
{'SiO2': 24, 'TiO2': 19, 'Al2O3': 21, 'FeO': 11, 'MnO': 88, 'MgO': 48, 'CaO': 79, 'Na2O': 77, 'K2O': 18, 'F': 62, 'Cl': 10, 'Bjergart': 'Gnejs'}
{'SiO2': 48, 'TiO2': 59, 'Al2O3': 27, 'FeO': 79, 'MnO': 91, 'MgO': 72, 'CaO': 46, 'Na2O': 95, 'K2O': 68, 'F': 56, 'Cl': 91, 'Bjergart': 'Dunit'}
{'SiO2': 53, 'TiO2': 27, 'Al2O3': 9, 'FeO': 83, 'MnO': 6, 'MgO': 25, 'CaO': 82, 'Na2O': 87, 'K2O': 95, 'F': 9, 'Cl': 31, 'Bjergart': 'Granit'}
{'SiO2': 67, 'TiO2': 24, 'Al2O3': 61, 'FeO': 23, 'MnO': 97, 'MgO': 56, 'CaO': 83, 'Na2O': 31, 'K2O': 68, 'F': 70, 'Cl': 31, 'Bjergart': 'Granit'}
{'SiO2': 86, 'TiO2': 72, 'Al2O3': 48, 'FeO': 47, 'MnO': 31, 'MgO': 37, 'CaO': 25, 'Na2O': 30, 'K2O': 2, 'F': 11, 'Cl': 67, 'Bjergart': 'Basalt'}
{'SiO2': 42, 'TiO2': 11, 'Al2O3': 23, 'FeO': 16, 'MnO': 60, 'MgO': 41, 'CaO': 86, 'Na2O': 11, 'K2O': 82, 'F': 3, 'Cl': 64, 'Bjergart': 'Granulit'}
{'SiO2': 29, 'TiO2': 29, 'Al2O3': 17, 'FeO': 62, 'MnO': 69, 'MgO': 99, 'CaO': 83, 'Na2O': 57, 'K2O': 94, 'F': 22, 'Cl': 47, 'Bjergart': 'Granit'}
